ip;city;region;country;isp;latitude;longitude;testDate;serverName;download;upload;latency;browser;operatingSystem;userAgent
190.232.9.25;0;;;;0,0000000;0,0000000;"01/12/2014 12:00:37";"Claro Speedtest.net";49828;6646;130;"Internet Explorer 9.0";"Windows 7 Home";
190.232.9.25;0;;;;0,0000000;0,0000000;"01/12/2014 12:23:41";"Claro Speedtest.net";47821;6666;130;"Internet Explorer 9.0";"Windows 7 Home";
190.232.9.25;0;;;;0,0000000;0,0000000;"01/12/2014 12:35:01";"Claro Speedtest.net";41861;6492;130;"Internet Explorer 9.0";"Windows 7 Home";
190.232.9.25;0;;;;0,0000000;0,0000000;"01/12/2014 12:58:21";"Claro Speedtest.net";42394;6789;130;"Internet Explorer 9.0";"Windows 7 Home";
190.232.9.25;0;;;;0,0000000;0,0000000;"01/12/2014 13:10:16";"Claro Speedtest.net";50790;6676;126;"Internet Explorer 9.0";"Windows 7 Home";
190.232.9.25;0;;;;0,0000000;0,0000000;"01/12/2014 13:21:48";"Claro Speedtest.net";42301;6226;126;"Internet Explorer 9.0";"Windows 7 Home";
190.232.9.25;0;;;;0,0000000;0,0000000;"01/12/2014 13:33:07";"Claro Speedtest.net";48835;6574;129;"Internet Explorer 9.0";"Windows 7 Home";
190.232.9.25;0;;;;0,0000000;0,0000000;"01/12/2014 13:52:41";"Claro Speedtest.net";50012;6298;129;"Internet Explorer 9.0";"Windows 7 Home";
190.232.9.25;0;;;;0,0000000;0,0000000;"01/12/2014 14:15:36";"Claro Speedtest.net";44165;6195;156;"Internet Explorer 9.0";"Windows 7 Home";
190.232.9.25;0;;;;0,0000000;0,0000000;"01/12/2014 14:38:06";"Claro Speedtest.net";30126;6676;153;"Internet Explorer 9.0";"Windows 7 Home";
190.232.9.25;0;;;;0,0000000;0,0000000;"01/12/2014 14:49:33";"Claro Speedtest.net";44360;5878;140;"Internet Explorer 9.0";"Windows 7 Home";
190.232.9.25;0;;;;0,0000000;0,0000000;"01/12/2014 15:01:15";"Claro Speedtest.net";44636;5837;136;"Internet Explorer 9.0";"Windows 7 Home";
